Period,"GDP At Market Prices 
(At Current Prices)
(₹ Crore)",Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,"Commercial Paper (Amount Outstanding) 
(₹ Crore)",Consumer Price Index for Food and Beverages,Reverse Repo Rate (%),Bank Rate (%),Base Rate (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)",Crude Oil Prices,"Overall Balance of Payments Net 
(US $ Million)","International Investment Position Net
(US $ Million)","India's External Debt - Gross Total 
 (US $ Million) ","Net Foreign Direct Investment 
(US $ Million)","Direct Investment to India 
(US $ Million)","Foreign Direct Investment By India
 (US $ Million)","Net Portfolio Investment 
(US $ Million)","Total Investment Inflows 
(US $ Million)","Foreign Trade Exports Total 
(US $ Million)","Foreign Trade Imports Total 
(US $ Million)","Foreign Trade Balance Total 
(US $ Million)",Exchange Rate of Indian Rupee vis-à-vis US Dollar (Month End)
Sep-2020,"4,728,281.28",156.4,124.10,122.90,"1,037.00","1,043.00","362,310.10",161.40,3.35,4.25,7.40,4.00,"542,020.66",35.79,"31,568.45","-337,783.71","556,794.19","2,593.58","4,117.64","1,524.07","1,177.95","3,771.53","27,559.04","30,518.35","-2,959.31",73.80
Jun-2020,"3,893,942.58",151.8,107.90,119.30,"1,018.00","1,024.00","391,482.30",154.00,3.35,4.25,7.40,4.00,"506,837.56",40.27,"19,846.21","-347,044.97","555,224.67",-914.40,64.18,978.58,"3,174.45","2,260.05","22,033.15","21,323.55",709.60,75.53
Mar-2020,"5,148,732.82",148.6,117.20,120.40,"1,007.00","1,013.00","344,526.95",148.90,4.00,4.65,8.15,4.40,"475,561.39",18.84,-,"-375,407.96","558,372.00","3,974.17","4,936.72",962.55,"-14,635.16","-10,660.99","21,490.67","31,470.92","-9,980.25",75.39
Dec-2019,"5,135,344.64",150.4,134.50,123.00,"1,014.00","1,019.00","414,906.30",155.00,4.90,5.40,8.45,5.15,"457,467.69",51.56,"21,601.23","-425,168.99","563,963.81","4,326.41","5,511.98","1,185.56",-611.42,"3,715.00","27,096.05","39,594.10","-12,498.05",71.27
Sep-2019,"4,868,137.04",145.8,122.90,121.30,976.00,983.00,"459,742.10",147.00,5.15,5.65,8.95,5.40,"433,593.66",54.18,"5,118.49","-436,979.28","557,518.85","1,981.31","2,949.69",968.38,"2,382.54","4,363.85","26,013.73","37,694.82","-11,681.09",70.69
Jun-2019,"4,951,378.35",,129.30,121.50,950.00,957.00,"503,943.30",142.70,5.50,6.00,8.95,5.75,"427,678.80",58.58,"13,983.99","-451,808.04","557,057.23","6,788.60","7,570.45",781.85,"1,895.73","8,684.33","25,027.35","41,032.49","-16,005.15",68.92
Mar-2019,"4,801,283.99",140.4,144.10,119.90,924.00,932.00,"483,084.45",138.10,6.00,6.50,8.95,6.25,"411,905.00",63.91,"14,162.49","-437,021.29","543,134.84",789.18,"3,239.58","2,450.40","8,622.96","9,412.13","32,725.19","43,690.44","-10,965.26",69.17
Dec-2018,"4,872,998.34",140.1,133.90,119.70,913.00,921.00,"498,728.65",138.20,6.25,6.75,8.95,6.50,"393,404.30",53.79,"-4,295.64","-426,900.30","521,202.04","3,112.49","4,236.52","1,124.02","-1,343.96","1,768.53","27,858.29","42,351.02","-14,492.73",69.79
Sep-2018,"4,656,017.01",140.2,128.80,120.90,910.00,917.00,"556,198.16",140.40,6.25,6.75,8.85,6.50,"400,525.10",65.31,"-1,867.78","-387,338.91","509,765.61","3,614.89","4,671.12","1,056.23","-1,798.85","1,816.04","27,865.97","42,819.59","-14,953.62",72.55
Jun-2018,"4,569,369.11",138.5,127.70,119.10,894.00,902.00,"491,833.06",139.40,6.00,6.50,8.70,6.25,"406,058.40",68.76,"-11,338.43","-407,554.06","514,441.50","1,644.54","3,015.49","1,370.95","-3,881.72","-2,237.18","27,158.08","44,806.59","-17,648.51",68.58
Mar-2018,"4,584,686.00",136.5,140.30,116.30,887.00,894.00,"372,577.41",137.20,5.75,6.25,8.65,6.00,"424,361.10",68.57,"13,236.75",-,"529,278.23","2,051.24","3,213.56","1,162.31","-1,390.18",661.06,"29,167.03","42,801.16","-13,634.13",65.04
Dec-2017,"4,339,193.52",137.2,130.60,115.70,900.00,906.00,"409,053.31",140.50,5.75,6.25,8.85,6.00,"409,366.60",64.73,"9,434.48",-,"513,026.88","2,735.67","3,284.86",549.19,-120.22,"2,615.45","27,832.56","42,030.79","-14,198.23",63.93
